Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Logan Elsbury,Fastball,43,28,15,75.4,84.4,4,3,1,0,0,2,5,0.571,0.153,0.714,0.219,0.614,0.316,65.94,5.29,2032.0,11.63,13.33
Logan Elsbury,Changeup,4,0,4,7.0,79.27,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1127.0,25.0,0.0
Logan Elsbury,Curveball,2,1,1,3.5,76.66,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2497.0,0.0,0.0
Logan Elsbury,Slider,4,4,0,7.0,78.63,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,2252.0,25.0,100.0
Logan Elsbury,Cutter,4,3,1,7.0,81.14,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2230.0,0.0,0.0
Caden Addis,Fastball,232,166,66,75.8,78.69,16,7,5,1,3,11,52,0.25,0.298,0.5,0.436,0.275,0.407,78.63,25.14,1700.0,8.62,16.92
Caden Addis,Slider,14,10,4,4.6,70.05,1,1,0,0,0,0,3,0.333,0.083,0.333,0.75,0.01,0.548,81.22,11.59,1648.0,0.0,0.0
Caden Addis,Sinker,48,31,17,15.7,78.54,2,2,0,0,0,6,9,0.133,0.226,0.133,0.286,0.02,0.249,83.16,3.56,1606.0,22.92,66.67
Caden Addis,Cutter,12,5,7,3.9,70.33,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,1729.0,8.33,0.0
Cal Darling,Fastball,19,10,9,73.1,82.31,0,0,0,0,0,0,0,0.0,,0.0,,0.347,,,,2269.0,5.26,0.0
Cal Darling,Curveball,7,6,1,26.9,72.85,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,2464.0,14.29,33.33
Brandon Ward,Fastball,102,83,19,76.1,85.19,12,9,1,1,1,2,22,0.5,0.435,0.75,0.549,0.457,0.484,80.09,8.74,1922.0,10.78,16.67
Brandon Ward,Curveball,26,22,4,19.4,74.4,1,0,0,0,1,3,1,0.25,0.222,1.0,0.583,0.058,0.394,96.71,23.88,1883.0,3.85,37.5
Brandon Ward,Changeup,6,5,1,4.5,77.62,1,1,0,0,0,1,2,0.333,,0.333,,0.025,,90.43,-15.34,1340.0,16.67,33.33
Jackson Natanek,Fastball,15,7,8,68.2,90.44,1,1,0,0,0,1,2,0.333,,0.333,,0.223,,85.29,0.82,2298.0,13.33,20.0
Jackson Natanek,Curveball,1,0,1,4.5,80.91,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,,,2545.0,0.0,100.0
Jackson Natanek,Slider,6,5,1,27.3,81.0,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,2584.0,0.0,0.0
Connor Hale,Fastball,147,77,70,78.2,80.02,12,6,5,0,1,3,28,0.375,0.319,0.625,0.495,0.404,0.437,83.47,21.85,1980.0,10.2,8.57
Connor Hale,Slider,40,24,16,21.3,68.39,2,1,0,0,1,4,5,0.222,0.117,0.556,0.25,0.091,0.311,80.98,4.74,1683.0,20.0,36.36
Connor Hale,Cutter,1,1,0,0.5,68.86,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,77.14,-4.57,1696.0,0.0,NaN
Luke Gallet,Fastball,152,98,54,65.8,81.8,7,7,0,0,0,9,26,0.2,0.149,0.2,0.227,0.177,0.314,76.34,18.0,2010.0,11.84,25.71
