,y_test,y_pred
11217,-0.33,-0.14156242
10825,0.0,0.006703035
10952,0.46,-0.2163816
9689,-0.33,-0.0031288692
6816,0.46,-0.0070515815
2330,0.46,0.13236651
10620,-0.33,0.12730563
12544,-0.33,0.1251128
4303,-0.33,-0.077268615
12206,0.46,0.67105085
8395,-0.33,0.23806241
4127,-0.33,0.7763465
1033,-0.33,-0.27783296
5550,-0.33,0.4304799
9856,-0.33,-0.5198154
8667,0.31,0.15097076
6779,0.46,0.053710878
3499,-0.33,0.31721738
6589,-0.33,0.15293746
8853,0.46,-0.38552108
2289,-0.33,0.22581321
8859,0.46,-0.2095173
7569,0.0,0.44822225
1231,0.46,0.107482545
2191,-0.33,0.30206218
5427,-0.33,0.27938393
13165,-0.33,-0.38374433
12992,-0.33,-0.24072033
3689,0.0,-0.45227042
8189,-0.33,0.4642182
8426,0.46,-0.5225188
3741,-0.33,0.26545623
10618,0.31,-0.771027
2824,0.31,0.63642263
11797,-0.33,0.17867348
2812,-0.33,-0.16064022
4976,-0.33,-0.37875196
11924,0.0,-0.16641521
7758,0.31,1.1546929
819,0.46,0.18780345
13499,-0.33,-0.16620055
11209,0.46,-0.21072492
3921,-0.33,0.24533692
6635,-0.33,-0.607736
7835,-0.33,-0.21517284
10263,-0.33,0.25223017
3966,-0.33,-0.043635137
1571,0.79,0.7505355
4273,0.79,0.49034417
10431,-0.33,0.8088173
11225,-0.33,-0.2656081
12497,-0.33,0.28136092
1517,0.79,0.12414539
7509,0.31,0.21476072
12461,0.31,0.40885407
11934,0.46,0.7491035
8599,0.31,0.9010851
12302,-0.33,-0.18824652
10877,0.46,0.97025245
2103,-0.33,0.28482866
7646,-0.33,-0.617113
997,-0.33,0.2118423
10869,-0.33,-0.4545224
2584,0.31,0.22163868
1053,-0.33,-0.23769332
1567,0.46,0.017810361
2511,-0.33,0.32308856
4094,1.41,-0.34744254
10305,-0.33,-0.6408227
10457,0.46,0.17242937
12230,-0.33,0.29936466
1720,-0.33,0.39978418
8910,0.31,0.18317209
4062,-0.33,-0.14933228
2898,-0.33,-0.19669197
6855,0.31,0.3293692
11008,-0.33,-0.50624067
2502,0.46,-0.15427826
43,-0.33,0.77861536
2783,0.46,-0.15093774
5562,0.46,-0.33484918
3231,0.46,0.33875528
1762,0.46,0.2971991
4870,-0.33,0.019391088
7004,0.46,0.15601583
6568,0.31,-0.587663
4299,0.31,-0.3403455
950,0.31,0.40021428
1274,-0.33,-0.55244344
1073,-0.33,0.28180677
12602,-0.33,-0.30210727
4171,-0.33,-0.08849827
511,0.46,-0.43208155
7455,0.46,-0.53844154
11686,0.46,-0.36417845
6556,-0.33,0.67991894
11849,0.46,-0.0688481
4829,0.46,0.33501017
3653,-0.33,-0.4090944
13514,0.31,-0.111384764
11778,-0.33,-0.318199
12191,0.0,0.3166582
6493,-0.33,-0.3077465
553,-0.33,0.67920434
4644,0.0,-0.39708444
10761,-0.33,-0.69942456
10322,0.0,0.075303346
9711,-0.33,-0.12473981
4463,-0.33,-0.20294787
8901,0.31,-0.58087635
1049,-0.33,-0.53325856
13144,-0.33,-0.29229102
11845,-0.33,-0.02541257
4360,-0.33,0.70951915
7377,-0.33,0.35590643
2709,0.0,-0.17149054
9778,-0.33,-0.1233347
4858,-0.33,-0.29805475
12363,-0.33,-0.51942307
7473,-0.33,0.7872089
1986,-0.33,-0.09770912
7709,-0.33,0.20362914
