Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Caden Addis,Kcl bluecaps 2025,Fastball,InPlay,Out,77.74128058,1795.703218,5.751614328,-0.293477934,6.000000192,18.80747468,-11.96320051,3.606349352,0.114055193,11.96320051,0.293477934,6.8442741699999985,0.008812537,0.02,0.027895069,0.01890253538886706,21.555661215804022
Caden Addis,Kcl bluecaps 2025,Fastball,Foul,StrikeoutSwinging,80.71162957,1722.003616,5.413588539,-0.559107474,6.000000192,16.75467534,-12.46864686,2.712666061,-0.399611069,12.46864686,0.559107474,4.286028479999999,0.118633084,0.08,0.016404325,0.07167913638055325,81.73989088102033
Caden Addis,Kcl bluecaps 2025,Fastball,InPlay,Out,78.4391756,1522.966051,5.16262266,-1.513465802,6.000000192,14.16632249,-13.50435909,2.058496863,-0.815958299,13.50435909,1.513465802,0.6619634000000012,0.0013778408,0.0,0.012062095,0.004479978621626894,5.1087803532805305
Caden Addis,Kcl bluecaps 2025,Fastball,InPlay,Double,79.09316929,1624.14372,5.3273387,-1.734032527,6.000000192,15.34440391,-13.79991627,1.918528343,-0.757881316,13.79991627,1.734032527,1.5444876399999998,0.024965087,0.0,0.014962201,0.013309095986187458,15.17713673139531
Caden Addis,Kcl bluecaps 2025,Fastball,InPlay,Out,78.67267816,1865.431681,5.124626353,-2.233850701,6.000000192,16.78360784,-14.41623887,2.996993637,-0.787216065,14.41623887,2.233850701,2.3673689699999976,0.0010894871,0.05,0.031201787,0.027430424800453088,31.280509827924956
Logan Lynch,Kcl merchants 2025,Fastball,InPlay,Out,86.25628657,2265.843427,4.333982182,-2.031229644,6.000000192,8.109908533,-8.489899425,2.907374628,0.741650784,8.489899425,2.031229644,0.37999089200000036,0.039520312,0.08,0.04011072,0.053210343519846603,60.67885151353296
Logan Lynch,Kcl merchants 2025,Fastball,StrikeCalled,StrikeoutLooking,85.50284725,2418.388405,5.036783592,-1.900644668,6.000000192,8.56250727,-3.013787593,2.48525205,-1.163897906,3.013787593,1.900644668,5.548719676999999,0.004562714,0.2,0.06735354,0.09063875110199054,103.360642981724
Logan Lynch,Kcl merchants 2025,Fastball,BallCalled,Walk,86.72545591,2466.419977,5.022909833,-0.380787803,6.000000192,9.793934645,-5.425361842,4.614511489,-1.099538948,5.425361842,0.380787803,4.368572803,0.13174991,0.49,0.0635543,0.2284347383181254,260.497426816429
Logan Lynch,Kcl merchants 2025,Fastball,BallCalled,Walk,87.14665358,2326.911713,4.101392465,-2.729266377,6.000000192,7.710690907,-7.22172431,2.787528603,-3.063789064,7.22172431,2.729266377,0.4889665970000001,0.10706736,0.21,0.044171255,0.12041287218530972,137.3138060821806
Logan Lynch,Kcl merchants 2025,Fastball,BallCalled,Walk,87.48958143,2491.500385,4.585656665,-1.135953279,6.000000192,10.33405759,-5.905721909,3.579377479,-1.440932733,5.905721909,1.135953279,4.428335681,0.6294194,0.58,0.06507299,0.4248307924469312,484.45927742693505
Caden Addis,Kcl bluecaps 2025,Fastball,StrikeSwinging,StrikeoutSwinging,77.1200111,1673.679039,5.113932477,-1.985335505,6.000000192,13.84218456,-15.93412334,3.227808135,-1.51757156,15.93412334,1.985335505,2.0919387799999996,0.86554444,0.61,0.021809725,0.4991180544843276,569.1733657852031
Caden Addis,Kcl bluecaps 2025,Fastball,InPlay,Single,76.04305362,1604.006009,4.997787203,-1.728775498,6.000000192,14.37505137,-13.23616206,3.183605847,-0.362730215,13.23616206,1.728775498,1.1388893099999997,0.003965043,0.03,0.020014243,0.017993095399190983,20.518573866923422
Caden Addis,Kcl bluecaps 2025,Fastball,InPlay,Out,78.17672974,1612.856458,5.167578888,-1.676782086,6.000000192,14.69083535,-13.99786172,2.526783383,-0.697430301,13.99786172,1.676782086,0.6929736300000009,0.0021545342,0.01,0.015952855,0.009369129855185747,10.684164049453658
Caden Addis,Kcl bluecaps 2025,Fastball,InPlay,Out,78.78222809,1607.141289,5.27864566,-1.749127512,6.000000192,15.50613346,-12.7797004,1.985604753,-1.690391351,12.7797004,1.749127512,2.7264330599999997,0.0018780814,0.0,0.015075178,0.005651086413611968,6.444262725983105
Logan Lynch,Kcl merchants 2025,Sinker,InPlay,Single,82.26878917,2316.61386,4.139903319,-2.195506538,6.000000192,8.32275886,-9.095457037,2.474814481,-0.746367457,9.095457037,2.195506538,0.7726981769999988,0.0033081921,0.07,0.07129184,0.04820001123162607,54.96527800809227
Logan Lynch,Kcl merchants 2025,Fastball,InPlay,Out,86.75840126,2418.128382,4.852179934,-1.814432742,6.000000192,11.33928017,-4.32806065,2.864092582,0.507808612,4.32806065,1.814432742,7.01121952,0.10174856,0.2,0.060509235,0.12075259933869044,137.70121672701913
Logan Lynch,Kcl merchants 2025,Sinker,InPlay,Out,84.38063301,2434.691597,4.294889409,-1.461303016,6.000000192,5.734656292,0.11122055,2.359007531,0.52011425,0.11122055,1.461303016,5.623435742000001,0.025667947,0.16,0.08065879,0.08877558007836343,101.23596062847405
Logan Lynch,Kcl merchants 2025,Fastball,InPlay,Error,86.97068847,2392.308001,5.022475505,-1.932075235,6.000000192,8.995098016,-2.836498844,2.918331046,-0.796441277,2.836498844,1.932075235,6.158599172000001,0.009399714,0.18,0.054422688,0.08127413389583428,92.6816249685911
Logan Lynch,Kcl merchants 2025,Fastball,BallCalled,Walk,87.10080799,2443.212107,4.889776549,-1.806026316,6.000000192,10.38535339,-3.899188277,1.652805003,0.72269591,3.899188277,1.806026316,6.486165113,0.15169878,0.21,0.06174923,0.14114933803677557,160.96080493771757
Logan Lynch,Kcl merchants 2025,Fastball,BallCalled,Walk,88.21212593,2348.090405,4.428323255,-1.147500646,6.000000192,7.127698207,-9.865230501,4.198752136,-0.452480956,9.865230501,1.147500646,2.7375322939999993,0.014349597,0.39,0.040661853,0.14833714979390303,169.1574850090516
Logan Lynch,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,86.35355182,2512.840071,5.155805179,-1.226108169,6.000000192,8.519051356,-3.650273705,1.974113911,-0.45457072,3.650273705,1.226108169,4.868777651,0.90599805,0.71,0.07617464,0.5640575634439786,643.2276672774437
Caden Addis,Kcl bluecaps 2025,Fastball,StrikeSwinging,StrikeoutSwinging,79.03053731,1752.391068,4.895417373,-1.764190198,6.000000192,16.68508528,-13.39048104,3.189258725,-0.998448152,13.39048104,1.764190198,3.29460424,0.0037120148,0.07,0.02235387,0.03202196185166637,36.51650675107091
Lawson Shickel,Kcl merchants 2025,Fastball,BallCalled,Walk,80.55732484,2053.091099,5.765884735,2.529519133,6.000000192,15.65582532,1.81625779,3.046811082,1.922476255,1.81625779,2.529519133,13.83956753,0.00072078995,0.01,0.044895817,0.018538868847147873,21.140951093190587
Lawson Shickel,Kcl merchants 2025,Fastball,InPlay,Out,81.2349026,2022.137819,6.004501851,1.726028713,6.000000192,15.64819514,1.896908895,2.847230509,0.238662046,1.896908895,1.726028713,13.751286245000001,0.14778249,0.08,0.037249524,0.08834400460124016,100.74380999457561
Nolan Vanduzer,Kcl merchants 2025,Fastball,BallCalled,Walk,75.78582761,1931.930481,5.968972814,2.877352995,6.000000192,18.47999038,3.987781368,0.934853241,0.541550583,3.987781368,2.877352995,14.492209012,0.0030589101,0.03,0.05380839,0.02895576707708339,33.01994639962164
Nolan Vanduzer,Kcl merchants 2025,Fastball,InPlay,Out,77.82415699,1990.152446,5.726664345,2.540592375,6.000000192,18.76726627,4.133148979,1.676238699,0.200472112,4.133148979,2.540592375,14.634117291,0.0011284471,0.0,0.050963975,0.0173641408716018,19.80134041448173
Payton Knoll,Kcl bluecaps 2025,Sinker,StrikeSwinging,StrikeoutSwinging,80.94842051,1838.353373,5.13498768,-2.076607575,6.000000192,15.84943955,-11.96209964,3.795808198,-0.281524689,11.96209964,2.076607575,3.8873399099999997,0.9025347,0.59,0.02299631,0.5051770111421744,576.0827466883972
Payton Knoll,Kcl bluecaps 2025,Sinker,InPlay,Out,82.76427631,1882.833262,5.307685431,-2.356494384,6.000000192,14.87633781,-13.60707327,3.229921722,-1.56579714,13.60707327,2.356494384,1.26926454,0.0004934408,0.01,0.020467367,0.010320269266764324,11.76880367600144
Nolan Vanduzer,Kcl merchants 2025,Fastball,InPlay,Error,75.74056572,2104.780308,5.670942956,2.04301009,6.000000192,16.91436492,3.939749845,2.816454571,-0.630806327,3.939749845,2.04301009,12.974615075,0.0021369054,0.01,0.083433904,0.03185693639951447,36.32831862363768
Payton Knoll,Kcl bluecaps 2025,Sinker,StrikeCalled,StrikeoutLooking,80.29522494,1834.218044,5.51238012,-1.846406734,6.000000192,16.10159979,-10.55067437,1.570162312,-0.387953408,10.55067437,1.846406734,5.550925420000002,0.0036550558,0.03,0.024442464,0.019365839961295327,22.083994383685752
Payton Knoll,Kcl bluecaps 2025,Sinker,InPlay,Single,80.97801709,1773.881849,5.489970495,-1.426449826,6.000000192,14.48046345,-10.4143786,1.713386351,-0.919243498,10.4143786,1.426449826,4.066084850000001,0.001863276,0.01,0.018654851,0.010172709082253277,11.600532209723163
Payton Knoll,Kcl bluecaps 2025,Sinker,InPlay,Out,79.64165178,1632.218563,5.694259264,-1.563269801,6.000000192,14.02011371,-10.66452274,1.616868146,0.148891815,10.66452274,1.563269801,3.3555909699999997,0.00052788836,0.0,0.014462363,0.004996750445570797,5.698085339815226
Payton Knoll,Kcl bluecaps 2025,Sinker,StrikeSwinging,StrikeoutSwinging,81.72589688,1869.499156,5.208510593,-1.445791536,6.000000192,15.2392005,-11.00339067,2.548493398,-2.566691164,11.00339067,1.445791536,4.235809830000001,0.0016631752,0.06,0.022629293,0.028097489286834993,32.041202284345985
Cooper Stolfa,Kcl groundsloths 2025,Fastball,InPlay,Single,82.83502195,2192.155024,5.80391443,3.029939996,6.000000192,15.95162377,9.196277666,2.671105424,-1.496617855,9.196277666,3.029939996,6.755346103999999,0.0021078265,0.01,0.04978988,0.02063256866609057,23.52851884832356
Cooper Stolfa,Kcl groundsloths 2025,Fastball,InPlay,HomeRun,82.26760254,2158.027067,5.764605217,2.732081439,6.000000192,17.40234901,9.376679636,2.340536472,-1.433980529,9.376679636,2.732081439,8.025669373999998,0.0007981913,0.1,0.04834959,0.04971592680085451,56.69396475671205
Cooper Stolfa,Kcl groundsloths 2025,Fastball,InPlay,Out,81.10918773,2169.66904,5.628113669,3.710035355,6.000000192,18.14976569,8.208122565,3.105651226,-1.246556479,8.208122565,3.710035355,9.941643124999999,0.041817974,0.1,0.058543384,0.06678711945811908,76.16123927304197
