Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Theo Nagy,Danville dans 2025,Fastball,BallCalled,Walk,82.75299886429764,1890.0043915714325,5.771063416830892,-1.937944544930161,6.000000192000004,18.16423630834513,-13.727757230059604,0.9831680852454012,0.5036941116970864,13.727757230059604,1.937944544930161,4.436479078285528,0.042841226,0.07,0.9729433,0.36192817727724713,92.77750071861412
Theo Nagy,Danville dans 2025,Fastball,InPlay,Out,82.5441641986837,1868.3311094745168,5.770144434388413,-1.761106608852772,6.000000192000004,16.699804140323455,-15.028225123669117,2.1100298203583647,0.8383421706046849,15.028225123669117,1.761106608852772,1.6715790166543378,0.0065561784,0.02,0.9656244,0.3307268568252524,84.7792825294866
Jake Fenton,Normal cornbelters,Fastball,BallCalled,Walk,83.96949917794348,1990.175032756987,4.806906648081592,4.348503345076738,6.000000192000004,14.461588456842469,15.212504973165723,4.939437325006876,0.1309409982824749,15.212504973165723,4.348503345076738,0.7509165163232545,0.03715129,0.08,0.9906977,0.36928299004832904,94.66285032661553
Jake Fenton,Normal cornbelters,Fastball,StrikeSwinging,StrikeoutSwinging,84.73620320688839,1995.830881591072,4.974856341071731,4.991590345099639,6.000000192000004,16.033097472110768,11.289916405229942,3.363875840006862,-1.0660020493742757,11.289916405229942,4.991590345099639,4.743181066880826,0.85530245,0.54,0.99112874,0.7954770652453105,203.914419008894
Jake Fenton,Normal cornbelters,Fastball,InPlay,Out,82.91148420581739,1942.3384801822028,4.927107617734387,3.3626965831594853,6.000000192000004,16.72055381945961,11.171077646001008,1.9795790287604504,-0.1004606527660305,11.171077646001008,3.3626965831594853,5.5494761734586024,0.014687492,0.07,0.9862671,0.35698486047486466,91.51031952914278
Theo Nagy,Danville dans 2025,Fastball,InPlay,Out,81.9166436754504,2081.7795136698023,5.969584702635611,-2.1858812691352894,6.000000192000004,18.186123753947943,-14.665533163818209,1.5159315139483451,0.8024975286832859,14.665533163818209,2.1858812691352894,3.520590590129734,0.034469668,0.11,0.9971957,0.38055512949824327,97.55237645796623
Theo Nagy,Danville dans 2025,Fastball,InPlay,Out,80.6021484476539,1896.633098096932,5.762038288084992,-2.137119107341253,6.000000192000004,18.7303403781982,-13.244363423327648,2.106336670706186,-0.55708382147003,13.244363423327648,2.137119107341253,5.4859769548705515,0.002021199,0.04,0.9838204,0.3419471926242113,87.65552919390026
Zach Courson,Normal cornbelters,Fastball,BallCalled,Walk,89.8622108947379,2273.025976954035,5.512306867276295,4.021997530594879,6.000000192000004,18.757691673740755,13.586994357847752,4.975773957761712,-2.0224542385683346,13.586994357847752,4.021997530594879,5.170697315893003,0.16014601,0.11,0.99871576,0.4229539237419764,108.42098081203682
Zach Courson,Normal cornbelters,Fastball,InPlay,Out,90.23627175215177,1889.839673352357,5.472024774587792,3.2787839937537107,6.000000192000004,17.05098576764346,13.17426670472402,2.45128445470826,-0.5150037450388828,13.17426670472402,3.2787839937537107,3.87671906291944,0.118941054,0.09,0.9077368,0.3722259440024694,95.4172539064892
Anthony Pesci,Danville dans 2025,Fastball,InPlay,Single,90.47507142274098,2062.591763980261,5.102402779195482,2.718856520409593,6.000000192000004,11.710051714555654,15.27945130975207,2.2071577722815943,0.1368241158749845,15.27945130975207,2.718856520409593,3.5693995951964155,0.022506595,0.06,0.9824872,0.35499793211619063,91.00098574747508
