,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,ZoneSpeed
199,1,71.71400669573,2316.73250418564,4.9594568217857,-1.02074162911681,6.000000192,3.5066360509213,10.8584770853273,-7.75144165883515,64.4024856324481
203,1,74.5756078932703,2366.12607825478,4.8482612414974,-0.660376998560741,6.000000192,5.41866161801095,10.0149183185589,-7.524989134836529,66.9940142534742
207,1,79.9233786663805,1676.36767587941,4.64832149011794,2.38648107974568,6.000000192,17.494855268265,13.1847217899133,-4.94280368302963,71.5615662278243
209,1,74.0504183453946,1920.92274994434,4.44732935039247,2.91361194939539,6.000000192,14.1148977345182,18.0554558741039,-6.7317048530137,66.5010928052205
214,0,80.4344919705249,1713.40460813024,4.64934047367014,2.88319709425616,6.000000192,17.7198491055166,12.9110505956113,-5.15018267871893,72.0641284569922
215,0,77.8190797437037,1748.69117510791,4.66418631621395,2.22676770804047,6.000000192,17.8481757720894,13.3374294451418,-5.33285609152637,69.7323979126347
217,1,78.7394907616589,1741.4143502013,4.59927529371844,1.98058028789738,6.000000192,18.1540403419085,13.287924053628,-5.20296436214133,70.5548318769832
224,1,88.74787082,2077.509282,5.111445459,3.512146524,6.000000192,15.7264675,10.04129948,-3.083856387,79.18877354
225,1,80.20716577,2040.92935,5.140368319,3.782907689,6.000000192,4.860634053,-5.040470021,-7.168723638,71.98543172
230,0,85.01576834,1971.823654,5.043362319,3.27076331,6.000000192,15.67452317,8.616911146,-5.910065528,76.25110099
234,1,85.89009064,1991.884988,5.013351683,2.968309835,6.000000192,15.10141236,10.53329126,-5.079288854,76.90502877
239,0,83.7528371,2033.156885,5.163285816,2.255464921,6.000000192,15.36941343,4.266699216,-5.021209584,74.97844
241,1,81.61022407,2119.584626,5.023099926,2.005530998,6.000000192,16.20220655,6.747044924,-6.231867635,73.28445272
247,1,76.6364902,2406.08157,4.787938768,2.084592575,6.000000192,-1.161362831,-10.12307971,-7.294517758,68.69526722
252,1,86.6519777,1854.831671,5.240049735,1.001497998,6.000000192,13.50829454,8.359540243,-5.270295774,77.70450139
253,1,87.4128913,1970.237861,4.901435891,3.409000463,6.000000192,14.91780855,11.22754205,-4.470884516,78.18661945
255,0,87.24755591,2151.986835,4.816627133,2.915891306,6.000000192,15.13737869,12.59499319,-5.562898417,78.21480487
257,1,85.83518808,1861.237111,5.213300793,3.221530125,6.000000192,13.64615504,9.740578021,-5.234169871,76.86509437
258,1,73.74673976,1266.828693,5.540842363,1.793836997,6.000000192,15.05431821,9.694017398,-7.501351948,66.40013325
259,1,77.36992887,2452.501474,4.740824202,1.639229024,6.000000192,2.136626374,-7.059655142,-7.519024014,69.46365427
264,1,74.80294587,2355.688708,4.86752154,1.562710617,6.000000192,-1.742926256,-9.440334529,-6.970751974,66.97370576
271,-1,86.05466762,1969.35798,4.985753203,3.968453656,6.000000192,14.12410134,8.966216568,-4.178303833,76.88913748
275,1,84.7524002,1916.866789,5.089536238,3.571500744,6.000000192,14.6508845,9.366596807,-5.779711669,76.00151927
280,1,85.57730057,1918.003609,4.953823682,3.045486737,6.000000192,14.95253788,9.074158016,-4.437195186,76.53245297
282,0,86.04442022,1966.360427,5.017770598,2.869221064,6.000000192,13.36342536,7.431015906,-5.368892048,77.07993035
287,1,85.49330546,2059.30593,5.087332662,2.737062279,6.000000192,14.95610631,9.554311739,-5.365716762,76.59736038
288,1,73.28462999,1306.264984,5.390504422,1.676910659,6.000000192,15.58386608,11.91646812,-7.883823603,66.05956688
294,-1,72.52536571,1225.325945,5.175764004,1.985354491,6.000000192,14.84903297,12.689314,-6.899958709,65.17875365
300,0,85.1222625,2124.834625,4.911052485,2.206665393,6.000000192,15.45299379,7.645879906,-2.447189721,75.81793754
302,1,73.61470713,2247.744093,4.895748716,2.172735695,6.000000192,0.935369734,-8.174063563,-8.734510343,66.2612219
306,1,65.97946598,1507.765071,6.464151078,1.119961894,6.000000192,10.4119297,-10.49643471,-9.424774916,59.62715262
311,0,71.28793685,1587.877292,6.48355881,-0.033304851,6.000000192,19.39331087,-1.328382085,-5.653757674,63.86832373
316,1,66.85925979,1505.791183,5.957095023,1.252263246,6.000000192,6.939448309,-11.65203043,-8.372970939,60.1516922
323,0,78.51259624,1758.561403,6.443821153,0.58786027,6.000000192,18.63277453,1.407714084,-7.108451336,70.68447095
329,0,83.14608369,1992.256245,5.81348857,1.045375403,6.000000192,19.14380083,7.401173434,-7.259400437,74.87276114
332,1,85.09391811,2173.160875,5.427130661,0.901005248,6.000000192,16.43343518,6.486971889,-4.640243861,76.16997643
