"","Player","OAA","playerPosition","innings","inRightOAA","inLeftOAA","backRightOAA","backLeftOAA","inTotal","backTotal","leftTotal","rightTotal"
"89","Brady Hart",-0.32,"3B",30,-0.06,-0.02,-0.12,-0.11,-0.08,-0.23,-0.13,-0.18
"90","Brady Hart",-0.65,"LF",13,0.21,-0.09,-0.78,0,0.12,-0.78,-0.09,-0.57
"91","Brady Veselack",0.62,"2B",34,0,1,-0.02,-0.35,1,-0.37,0.65,-0.02
"92","Brady Veselack",-0.1,"3B",6,-0.01,0,0,-0.08,-0.01,-0.08,-0.08,-0.01
"93","Brady Veselack",-1.21,"SS",24,0,-0.05,-0.34,-0.82,-0.05,-1.16,-0.87,-0.34
"94","Brandon Schultz",1.27,"CF",28,1.29,0.73,0,-0.75,2.02,-0.75,-0.02,1.29
"95","Brandon Schultz",-0.41,"LF",9,-0.38,-0.03,0,0,-0.41,0,-0.03,-0.38
"96","Brandon Schultz",0.93,"RF",25,0.62,0.01,0.3,0,0.63,0.3,0.01,0.92
"97","Braxton Waller",-0.24,"1B",12,0,0,-0.24,0,0,-0.24,0,-0.24
"98","Braxton Waller",-0.2,"2B",4,0,0,0,-0.2,0,-0.2,-0.2,0
"99","Braxton Waller",0.5,"3B",7,0,0,-0.02,0.52,0,0.5,0.52,-0.02
"100","Braxton Waller",0,NA,27,0,0,0,0,0,0,0,0
"101","Brayden Elliott",0.42,"SS",14,0,0,0.6,-0.18,0,0.42,-0.18,0.6
"102","Brayden Zilis",0.44,"2B",6,0.2,0.26,-0.02,0,0.46,-0.02,0.26,0.18
"103","Brayden Zilis",0,"3B",6,0,0,0,0,0,0,0,0
"104","Brayden Zilis",0.93,"SS",26,-0.01,0,-0.05,0.99,-0.01,0.94,0.99,-0.06
"105","Cal Darling",-0.39,"RF",26,-0.55,0.47,0,-0.31,-0.0800000000000001,-0.31,0.16,-0.55
"106","Cameron Anderson",-2.26,"LF",26,-1.03,-0.71,-0.52,0,-1.74,-0.52,-0.71,-1.55
"107","Cameron Steinbaugh",0.27,"LF",45,1,0.23,-0.97,0,1.23,-0.97,0.23,0.03
"108","Cameron Steinbaugh",0.08,"RF",6,-0.17,0,0,0.26,-0.17,0.26,0.26,-0.17
"109","Chase Peterson",0.15,"CF",23,0.38,-0.14,-0.09,0,0.24,-0.09,-0.14,0.29
"110","Chase Peterson",1.31,"LF",21,0.97,0.19,0.16,0,1.16,0.16,0.19,1.13
"111","Chase Peterson",-0.12,"RF",11,0,-0.02,0,-0.1,-0.02,-0.1,-0.12,0
"112","Clint Goodman",1.66,"1B",61,-0.17,-0.02,0.93,0.92,-0.19,1.85,0.9,0.76
"113","Clint Goodman",-0.12,"3B",26,0,-0.05,0,-0.07,-0.05,-0.07,-0.12,0
"114","Cody Delfavero",2.42,"CF",52,1.94,0.41,0.09,-0.02,2.35,0.07,0.39,2.03
"115","Cody Delfavero",-0.39,"RF",7,0.29,-0.54,0,-0.15,-0.25,-0.15,-0.69,0.29
"116","Cole Yates",0.3,"2B",58,1.17,-0.21,-0.65,-0.02,0.96,-0.67,-0.23,0.52
"117","Cole Yates",0.95,"SS",21,0,0.25,-0.15,0.85,0.25,0.7,1.1,-0.15
"118","Colin Karr",-0.62,"2B",32,-0.2,-0.2,-0.06,-0.16,-0.4,-0.22,-0.36,-0.26
"119","Colin Karr",0,"3B",14,0,0,0,0,0,0,0,0
"120","Colin Karr",0,"SS",4,0,0,0,0,0,0,0,0
"121","Deegan Aeilts",-0.06,"CF",26,0.32,0.09,-0.01,-0.46,0.41,-0.47,-0.37,0.31
"122","Deegan Aeilts",0.19,"LF",16,0.35,-0.02,-0.14,0,0.33,-0.14,-0.02,0.21
"123","Deegan Aeilts",-0.08,"RF",14,-0.51,0.64,0,-0.21,0.13,-0.21,0.43,-0.51
"124","Donte Frantz",0,"3B",4,0,0,0,0,0,0,0,0
"125","Drew Wichtowski",0.76,"1B",5,0.85,0,-0.09,0,0.85,-0.09,0,0.76
"126","Drew Wichtowski",0,NA,17,0,0,0,0,0,0,0,0
"127","Ethan Hamrick",0.51,"2B",12,0,0.51,0,0,0.51,0,0.51,0
"128","Ethan Hamrick",-0.51,"SS",71,0.25,0.12,-0.4,-0.48,0.37,-0.88,-0.36,-0.15
"129","Gabe Peters",-1.07,"2B",30,-0.08,-0.72,-0.14,-0.13,-0.8,-0.27,-0.85,-0.22
"130","Gavin Bailey",-0.39,"LF",9,-0.39,0,0,0,-0.39,0,0,-0.39
"131","Gavin Bailey",1.33,"RF",25,-0.04,0.81,0.48,0.08,0.77,0.56,0.89,0.44
"132","Gavin Kleist",0.13,"LF",6,0,0.13,0,0,0.13,0,0.13,0
"133","Gavin Kleist",0,NA,30,0,0,0,0,0,0,0,0
"134","Grayson Schnierle",0.46,"2B",6,0,0.57,-0.01,-0.1,0.57,-0.11,0.47,-0.01
"135","Grayson Schnierle",1.05,"LF",7,0.78,0.28,0,0,1.06,0,0.28,0.78
