Batter,AB,xBA_sum,xBA_per_AB,xBA_percentile
Kam  Ross,12,2.5789473684210527,0.2149122807017544,0.47058823529411764
Andrew Schweigert,9,1.894736842105263,0.21052631578947367,0.4470588235294118
Max Michalak,8,1.6842105263157894,0.21052631578947367,0.4470588235294118
Owen Shissler,10,2.1052631578947367,0.21052631578947367,0.4470588235294118
Jackson Natanek,2,0.4210526315789473,0.21052631578947364,0.4235294117647059
Chase Peterson,14,2.894736842105263,0.20676691729323307,0.4117647058823529
Kaileb Hackman,21,4.157894736842104,0.19799498746867164,0.4
Tyler Pippin,25,4.947368421052632,0.19789473684210526,0.38823529411764707
Michael Lucas,29,5.526315789473683,0.190562613430127,0.3764705882352941
Teagan Disharoom,5,0.9473684210526316,0.18947368421052632,0.36470588235294116
Jake Morrill,9,1.6842105263157894,0.1871345029239766,0.35294117647058826
Ty Cribbett,21,3.789473684210526,0.18045112781954886,0.3411764705882353
Taylor Vorhees,21,3.6842105263157894,0.17543859649122806,0.32941176470588235
Jake Parpet,11,1.894736842105263,0.17224880382775118,0.3176470588235294
Logan Lynch,9,1.4736842105263157,0.16374269005847952,0.3058823529411765
Cole Yates,22,3.526315789473684,0.16028708133971292,0.29411764705882354
Ryan Theile,9,1.3157894736842104,0.14619883040935672,0.27647058823529413
Zach Pomatto,9,1.3157894736842104,0.14619883040935672,0.27647058823529413
Thomas Mickels,12,1.7368421052631577,0.14473684210526314,0.25882352941176473
Braxton Waller,15,2.1578947368421053,0.14385964912280702,0.24705882352941178
Gabe Peters,9,1.263157894736842,0.14035087719298245,0.23529411764705882
Lucas Rink,20,2.789473684210526,0.1394736842105263,0.2235294117647059
Brady Hart,9,1.2105263157894737,0.13450292397660818,0.21176470588235294
Drew Wichtowski,6,0.7894736842105262,0.13157894736842105,0.2
Jake Zimmerman,16,2.052631578947368,0.1282894736842105,0.18823529411764706
Riley Hendren,19,2.4210526315789473,0.12742382271468145,0.17647058823529413
Jackson Newton,17,2.1578947368421053,0.12693498452012383,0.16470588235294117
Josh Eisfelder,13,1.631578947368421,0.12550607287449392,0.15294117647058825
Brayden Zilis,3,0.3684210526315789,0.12280701754385964,0.1411764705882353
Sammy Driscoll,19,2.31578947368421,0.12188365650969528,0.12941176470588237
Trey Thompson,19,2.1052631578947367,0.11080332409972299,0.11764705882352941
Cameron Heinold,8,0.7368421052631579,0.09210526315789473,0.10588235294117647
Will Vogel,20,1.157894736842105,0.057894736842105256,0.09411764705882353
Jacob Blunck,17,0.4736842105263157,0.027863777089783277,0.08235294117647059
Braden Deverman,1,0.0,0.0,0.041176470588235294
Braden Alexander,1,0.0,0.0,0.041176470588235294
Brayden Elliott,3,0.0,0.0,0.041176470588235294
Brandon Ward,5,0.0,0.0,0.041176470588235294
Connor Hale,2,0.0,0.0,0.041176470588235294
Deegan Aeilts,14,0.0,0.0,0.041176470588235294
Brandown Ward,0,0.0,,
