PitchUUID,Stuff+,delta_run_exp_mean
5f5a4c52-e447-49c6-bb20-d233009d8063,133.26984,-0.0015084264877677
a2c668c4-1cf6-4915-b3ad-1ba5141f30f8,61.856388,0.0
fea301e5-52e9-4fb7-93d7-ac62cbe309f1,101.026054,-0.005143965724844
be8a0be8-8738-4a8a-b500-67b6963c5259,102.64031,-0.0070085473190721
af0844be-ba56-4bb7-aad2-767396bb020e,106.85102,-0.0017301174741864
104b5d91-afb2-488c-b6e6-b8d2e806a663,87.73312,0.0
08656ede-9223-4ec5-b751-057e4e2bd81a,134.57248,0.0464135021097046
659dda25-601f-454c-9dd4-724d399d3768,111.85452,-0.0080450986281523
a4b6a9c1-46c2-42df-937b-bb9009cc4538,105.16572,-0.0047350402939837
befa3989-b6db-4ca1-98ae-3e48112705b9,1190.4529,2.0
b0855a2d-a1b8-46bc-a78d-20988c5a6153,97.11063,-0.0015084264877677
fd2e6dd1-ae10-48cd-81c4-31a0f2b7add3,106.15369,0.0
c7f8cfde-1a45-44b5-8655-22cc0c80232f,96.247955,-0.005143965724844
c6a1d353-1e57-490a-bb1b-38b1c22a93d8,105.40039,-0.0070085473190721
e4bb4db5-5523-4e3e-9119-120002fc3ca1,-21.724228,-0.2596690323372092
ba4d8a45-32b5-456b-9bf4-45052c426a14,107.64042,-0.0080450986281523
ead13a07-c57d-4ac3-b7f2-2c714eabfa93,106.31849,-0.0047350402939837
35dcefdc-a27b-4b65-8255-bec1d85da1f2,105.90131,-0.0016017590095178
e62474b4-82c9-4add-8a8d-66c856545b04,102.3663,0.0
8cdd5b7d-8cd2-4729-bb13-cd5761e78c82,103.08124,-0.0013085811065526
2d7d99c6-78b0-4988-9898-0d3b53d272b2,106.65336,0.0
e089138a-fa17-4fd2-b9af-5c08cc101fec,106.33248,-0.0017301174741864
434b2099-3169-4ae8-aa62-a49749078cca,106.667625,-0.0015084264877677
86f39d0e-c26c-4300-845e-018f306d3a69,108.89737,-0.0026313207267571
5f37165b-01e0-4a0f-ad1b-b5bf357ac262,111.318405,0.0
ecb21b91-c28a-43df-b825-5a81db894638,101.45844,0.0
