PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision,RunValue,Stuff+,xBA,xWOBA
137,06/21/2025,7:34:39 PM,1,2,Jack Bussard,,Left,Danville dans 2025,Michael Kuska,,Left,Normal cornbelters,,4,Bottom,0,1,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,82.0328109630138,-1.5695434020749863,-0.4073574611539465,1685.9563254243644,155.64719448353128,11:15,6.461198808126792,-0.7453732082060619,6.000000192000004,-23.910091731946505,18.332337624818454,-6.697792037010742,3.0095654839049866,1.6821243995603947,73.67688822728994,-6.088837881636414,-1.679910855657144,0.4677846489298854,,,,,,,,,,,,3.4849024418012555,10.453770514218505,0.7824303450081652,50.0,6.319482340873456,1.0463048133018027,-119.19479544299894,-3.975942386591367,4.905885812909366,27.497612551749924,-17.457710947089087,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,9bdddb77-40b8-46cf-b769-d032451d66bd,82.27673648051767,6.461880653795189,-0.7495450900563442,-1.5792284212640817,-0.3574327927121696,73.87705633648459,3.0099422036300725,-1.6788633289282966,-6.082027501798146,-1.6304001644800863,0.467570019562965,-7.165417472955805,16.911411908141517,26.77429462289689,75.113988888234,1505.2015927099585,759.4846256125466,89.27880099925429,-0.8133509697424336,0.4504770462671268,0.3681448503041809,,,,,,,,,,,,,,,,,0.9973703675846024,0.0,,,medium,high,22.397410000589364,28.368635032579032,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-2,0.0,97.04882049560547,0.0,0.0
138,06/21/2025,7:35:19 PM,2,1,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,0,0,Fastball,,BallCalled,,,,,,,82.52410178898552,-0.7462698215225136,1.291339056508504,1614.237324604261,158.11528680720193,11:15,6.476934857326373,-1.5338223142513523,6.000000192000004,-24.268113992895977,17.471510012063646,-5.485511611976224,3.760798042314996,0.7905826998836889,73.98799640163307,-5.343702355135862,0.2488890877896645,0.4649923293753489,,,,,,,,,,,,3.4086572046027577,9.707751872488856,1.4317928083603673,49.999999999999964,6.402088134699864,-2.5392931003891026,-119.91522015830652,-2.287146239679144,4.856235052225252,27.85261779159349,-18.343640104569104,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,a13e6de8-4a19-4de4-a4bf-ca28250a489c,82.77389483798363,6.477344490385444,-1.5376557824035104,-0.7526549686554432,1.3371210690241049,74.19101439861247,3.7613859814888713,-0.7876354127391627,-5.333554482154247,0.2936802719189373,0.4647774677498918,-5.915005443370919,16.030002099532314,33.335772076979524,67.53021312977273,1348.637847615554,887.0953140020573,83.54644184343711,-0.7752572899573842,0.5495445437179032,0.3114111893266106,,,,,,,,,,,,,,,,,0.99695978066356,0.0,,,medium,high,29.22280818320453,57.2864039014114,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,93.78274536132812,0.0,
139,06/21/2025,7:35:32 PM,2,2,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,1,0,Slider,,Foul,,,,,,,73.0725711717201,-0.1049619316008071,-0.6946638425547196,1618.4459058778923,265.66423213881785,2:45,6.16599288897057,-0.7229299926723831,6.000000192000004,-49.87973996625775,3.479443786496816,7.941226024598469,1.9117894460623728,0.7068089403991952,65.96264822050064,-9.51176071076934,0.8171000933338456,0.5257461622294235,80.6808934999048,20.885674773815385,47.40334579224013,,80.93734112242251,74.49259568596298,24.910637484441217,212.2894206541358,,47.38832213322973,2.4381999477182448,-4.543505326633687,1.920826497903309,0.7749338371859639,49.99999999999994,6.1286596957212405,1.0779998190566549,-106.1865012180961,-1.5103498943180398,-5.059530812513501,22.367479974382213,-30.03506654251919,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,fb9cd6d8-072c-4304-ac4e-6e5ab6233439,73.26443852364068,6.156769440148355,-0.7246231927887296,0.0034325110193493,-0.6741105874373418,66.09609079047586,1.919961516286077,-0.7058011730592678,-9.388890031558438,0.8321984067076913,0.5255354233094387,7.744380149689396,0.4337122841350332,71.95162145721405,44.20376541547056,501.4267683484306,1538.8106921374574,30.98199121313493,-0.0234227639235638,0.950795257690594,-0.308933248588199,55.48971683946456,51.019430383630805,28.76309483259538,0.8248218068388562,1.0117879524119318,1.8676093200514787,156.23633369201033,143.72545409963894,,,,,,,,,0.9969292691148296,0.0,,44.31411539554333,medium,high,50.21661112607651,7.841002347619985,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0.0,109.17406463623047,0.0,
140,06/21/2025,7:35:49 PM,2,3,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,1,1,Slider,,BallCalled,,,,,,,73.70159479677179,1.778911214018409,-1.7144367246955707,1606.4620867769595,254.9369295818529,2:30,6.042279508831108,-0.7115342932472271,6.000000192000004,-48.4546891263491,4.050586434487762,6.495286681489151,3.658969490422455,1.7641227434629263,66.15489381072135,-7.399251510474548,-0.4788476685488009,0.5215224322645446,,,,,,,,,,,,-4.113625660196147,1.5728481737387887,0.8474741460539214,50.00000000000002,6.159312711236451,3.0303237764131183,-107.01470487049518,2.036148356948849,-4.656212496150551,22.586479544564188,-30.393742886736334,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,9ee16d27-734c-41de-98b8-bd2aa9f075fe,73.90826556010978,6.033597524048717,-0.7137478025857916,1.880207952735284,-1.6878133188839255,66.30080624149169,3.666645507209713,-1.7627362666234458,-7.282173335330608,-0.4578817479688045,0.5213036734159952,6.241301129050896,1.1235533445461574,73.52413981163104,32.48352878739139,455.61086401515627,1540.4996516855,28.361133933091885,-0.0737055292090595,0.9589393141398064,-0.2738665491824259,,,,,,,,,,,,,,,,,0.9967842156892938,0.0,,,medium,high,60.76482409134774,-21.056298097087403,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,105.20846557617188,0.0,
141,06/21/2025,7:36:03 PM,2,4,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,2,1,Fastball,,BallCalled,,,,,,,81.8143045504093,-1.393111884224739,-1.4757619866981084,1721.6928934853677,160.27522090977095,11:15,6.409626283855991,-0.3233596216297935,6.000000192000004,-23.8127604461306,18.6871838651312,-5.343248565042427,3.1297952158698235,2.140497599678763,73.45305407223026,-5.894127025883956,-2.490258130375868,0.4692083183878915,,,,,,,,,,,,2.3865212126752104,10.587833216569448,0.4466846048270818,50.0,6.282316168123261,3.2199581604002443,-118.8477446741889,-3.595966204765119,3.3390153543867664,27.40499197313176,-17.360463395336247,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,885c4a01-9e4a-4654-9ea5-1f6c2abe4be9,82.06178883738183,6.410418228623096,-0.3270954118761063,-1.4040725669117922,-1.4315035729064531,73.65445659278866,3.130113342834681,-2.137629768118667,-5.888232163127492,-2.447032639417643,0.468987621472149,-5.757924838105917,17.252248989782217,28.195211397146828,73.935727396568,1517.4018786330594,813.4604834894437,88.13429412264432,-0.8296298541209283,0.4724771105041197,0.2974553499282957,,,,,,,,,,,,,,,,,0.9976999854203352,0.0,,,medium,high,23.45784534308877,52.91660419381208,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,97.04882049560547,0.0,
142,06/21/2025,7:36:16 PM,2,5,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,3,1,Fastball,,Foul,,,,,,,81.52294992542566,-1.6260404198541063,0.8409104604621915,1699.2382649285737,159.08744275730928,11:15,6.342487649291024,-0.9341277271335802,6.000000192000004,-25.76963279044074,16.99675569707943,-4.679004956179747,2.6832177888940665,0.54245184421232,73.2648873586765,-6.495637027888427,-0.0481725784197517,0.4706768202259093,,,,,,,,,,,,2.8169840447809715,9.74765088548595,0.8683350894338998,50.00000000000004,6.195073667737733,-1.6004067563549482,-118.44417326834764,-4.123171678516788,3.91742141662764,27.068800647471928,-18.618539248141097,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,c140f697-70f4-41cb-9150-7dc8090e7bdd,81.76610338353981,6.342462617092019,-0.9379122468043842,-1.627197279393079,0.8865388141777146,73.46374024018031,2.6841795996286466,-0.5395046006938837,-6.479910666787803,-0.0035549042836987,0.4704619650334045,-5.107219903494216,15.49346188295582,38.9243950682874,56.41663521122878,1321.9660848478798,1067.6218204539646,77.79757036623982,-0.7267275401274206,0.628294361355405,0.2776927761202153,,,,,,,,,,,,,,,,,0.997359332113213,0.0,,,medium,high,39.225028309894086,55.73702272141677,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0.0,96.35653686523438,0.0,
143,06/21/2025,7:36:35 PM,2,6,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,3,2,Fastball,,Foul,,,,,,,81.68154007503314,-1.758271958682401,0.1258198444458037,1769.498046330972,160.20413451522006,11:15,6.283843387073157,-0.126072520958474,6.000000192000004,-24.716001091669668,17.879636112848118,-4.762548254455605,2.589532585785568,0.4060152069003925,73.4101230650456,-6.427765465134156,-0.7791309419230243,0.4697362562064902,,,,,,,,,,,,2.619179661096918,10.26985015013634,0.1185806238429304,49.99999999999995,6.126272396363449,-0.1197848329724575,-118.67934636567848,-4.3740106270087935,3.6569862085365785,27.167239435820683,-17.83494145965746,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,a1493030-bd1c-43f0-94cf-2d78664a06e1,81.9255404258094,6.284245311775351,-0.1297907076556069,-1.7646386528735962,0.170326189621002,73.61010965617344,2.590146346604199,-0.403140416665921,-6.4173025837664905,-0.735565202230765,0.4695202299446386,-5.179802838010307,16.431864202697355,35.5855038968233,61.86302703682705,1439.0407677963174,1029.7014152604197,81.32480116494885,-0.7651892912961251,0.5819172377135371,0.2754227240762469,,,,,,,,,,,,,,,,,0.9856844239704337,0.0,,,medium,high,34.32327566685564,53.8030980771837,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0.0,96.35653686523438,0.0,
144,06/21/2025,7:36:52 PM,2,7,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,3,2,Changeup,,Foul,,,,,,,79.50418524174053,-1.6952712002658668,1.5684277232113346,1859.990553358031,166.5073927747472,11:30,6.572264378059181,-1.4499158188465664,6.000000192000004,-27.48500021561321,17.493548014239096,-2.448272912329948,2.705222622753794,0.1958875540176229,71.5233578737172,-6.883795118022958,1.1035254425227552,0.4826965994292591,,,,,,,,,,,,1.8556907595062124,10.037495298163448,1.3235458374515705,49.99999999999999,6.418171401337522,-3.091476746451062,-115.4790339044249,-4.210111039292334,2.453898318060925,25.66006746658564,-18.900828978778847,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,13922b29-d25f-4a88-bec5-5f06cceedfc4,79.74660902882951,6.571967304148786,-1.45322404229984,-1.693380790856511,1.6075032292923868,71.7183677865744,2.706452811785449,-0.1934367996769967,-6.863970209712456,1.140450023349757,0.4824704769643941,-2.8152984378034795,15.89411168748033,44.42695732107855,83.41173914356222,1328.2999931696434,1301.9923143884682,71.4143408293944,-0.6944330740435657,0.6999994231356973,0.1666238676903595,,,,,,,,,,,,,,,,,0.9965324797999752,0.0,,,medium,high,14.929434770793964,36.91393593051295,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Changeup,Offspeed,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0.0,96.99324035644531,0.0,
145,06/21/2025,7:37:14 PM,2,8,Jack Bussard,,Left,Danville dans 2025,Tyler Thompson,,Right,Normal cornbelters,,4,Bottom,1,3,2,Fastball,,InPlay,,GroundBall,Single,0.0,0.0,,80.96808483444488,-2.2836037411230348,0.9578719854347536,1763.541388253484,156.3562973606796,11:15,6.546186134422044,-1.5180240034525685,6.000000192000004,-24.54630051293736,18.8083671901548,-6.353452846601508,2.376872802157433,1.157155323064344,72.86363410401063,-6.9136053590608455,-0.2488027984474115,0.4739029949820504,86.49561766787328,-6.233130967480706,4.747269113905281,1657.3145591112605,,,,17.31885322098318,,8.869505897076968,0.133254841475856,3.759142092526337,10.94274870612134,1.443674029812059,50.00000000000004,6.345832878441092,-1.7798563989511151,-117.59567267007216,-5.409816914734121,5.157879638071945,26.48999809570397,-17.15961827518198,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,ed22a880-875b-444f-b822-75e8ceb8c64b,81.20864115781681,6.5468512071483085,-1.5222034186418532,-2.293032038633186,1.0075789262533936,73.05914192801046,2.3772788887886933,-1.153979890551348,-6.906174943183999,-0.2001523211219419,0.4736884884912742,-6.819725599507246,17.401589315821532,29.26872560381329,69.93949189511518,1538.401108448209,862.2066211809948,87.233626536645,-0.7991098249565797,0.4889063715339721,0.3498486065876927,7.1161203716014905,85.68931211258506,-9.391192484225558,1.2267759605698545,0.6871571659117804,2.266322525609167,2.6702995894316666,17.111755520478912,-0.0833105570747715,-1.1136058669359834,-0.0199441194651232,-0.9989140128869728,-0.0113079672585333,-0.0451987249214453,,,0.9972913893183994,0.0,0.9917930778890026,49.42655968613941,medium,high,27.054457294396343,30.397924340210764,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,-2,0.891,96.35653686523438,0.3333333333333333,0.31185
146,06/21/2025,7:37:50 PM,3,1,Jack Bussard,,Left,Danville dans 2025,Jackson Smith,,Left,Normal cornbelters,,4,Bottom,1,0,0,Slider,,BallCalled,,,,,,,75.19460421555247,-1.6915949025451682,1.0681250032737348,1765.0891258899967,206.7387695896608,1:00,6.179601066333224,-0.5247635783215902,6.000000192000004,-43.896642726454814,6.51930900150662,3.673314375530708,0.9486594546072435,-0.7741696057267612,67.99454825882441,-9.941089095164433,1.766797654402024,0.511040721301159,,,,,,,,,,,,-1.6161554315278193,4.119712572882156,0.4356290987983313,50.00000000000003,6.016405562306253,-2.1359938657286883,-109.21632836315024,-4.417593977097763,-1.905061801743712,23.55362864156835,-27.317891011362303,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,b347996f-20d6-4f99-9dfb-88d2babce3e7,75.40022881011122,6.172726206538577,-0.5280425840939902,-1.6113076036005458,1.1076080736371487,68.14714739768542,0.955063214087279,0.7764406754617461,-9.844404982620606,1.8012323520180524,0.510824986492974,3.299412711029304,3.869743121886528,80.29341375521273,26.34568007618785,297.5987470537547,1739.8202803988545,16.86026743288098,-0.1505735096746899,0.9856840965589196,-0.0758582887697366,,,,,,,,,,,,,,,,,0.9855472078837206,0.0,,,medium,high,66.28888793143093,0.3734146815743537,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,109.70246124267578,0.0,
147,06/21/2025,7:38:03 PM,3,2,Jack Bussard,,Left,Danville dans 2025,Jackson Smith,,Left,Normal cornbelters,,4,Bottom,1,1,0,Fastball,,HitByPitch,,,,,,,82.56176887346703,-0.902134508901442,-1.5495369681072684,1930.1830627075208,161.75337645819243,11:30,6.381590523375587,-0.3841847484192151,6.000000192000004,-22.95773809835612,18.779692819744508,-4.934551184148085,3.6296314478886273,2.2358784327237857,74.02434961488048,-5.247946413610139,-2.4865883550889696,0.4649801133817104,,,,,,,,,,,,2.138572910850099,10.471989702242816,0.5132858636019997,50.000000000000064,6.294798838386881,3.3920342176047145,-119.9468057071586,-2.574922883243416,3.046472497198456,27.99940041853932,-17.256331112634197,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,571ce7fa-96a8-4141-8d83-aaa31b5ca686,82.81427241238971,6.382747137958957,-0.3879898956552466,-0.9173190695570018,-1.504708649872096,74.22826287081355,3.62967954645456,-2.233037139962481,-5.246086191494219,-2.443421288948642,0.4647599246831725,-5.355107110957389,17.393402659272457,32.467151570095105,57.30453356689521,1628.4941866117842,1036.1531449233798,84.36993454535086,-0.801276100100241,0.536815996856764,0.2641688795578074,,,,,,,,,,,,,,,,,0.9967688960841476,0.0,,,medium,high,38.42591978979429,22.47392298760666,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,97.38479614257812,0.0,
148,06/21/2025,7:38:35 PM,4,1,Jack Bussard,,Left,Danville dans 2025,Jackson Stanek,,Left,Normal cornbelters,,4,Bottom,1,0,0,Slider,,InPlay,,LineDrive,Single,0.0,0.0,,73.30298408705859,1.5986325356994957,-1.5109581349304502,1585.1571248337636,257.66204552334585,2:30,5.8801470906873865,0.2282445480314722,6.000000192000004,-49.2717831816616,3.793862017100423,6.284610622563526,3.260826496204356,0.6526384255351391,65.84817635847165,-7.730541211375526,-0.315204099640426,0.5242980553801128,91.80634317505326,12.149646052600389,23.797966860006973,1324.493099914932,48.60855966120328,98.67729182005564,10.576834323975945,161.51408164773397,,27.596878721420744,1.4380849625074552,-3.9295655686377415,1.4960592076615964,-0.1087699367809491,50.00000000000005,5.981995670329591,2.641716239352039,-106.45519683804731,1.668364450417379,-4.400719634515778,22.37979956995766,-30.49861320135229,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,4eb8ed52-9ff6-4e3f-b804-9a7123fa9813,73.50566114171801,5.871353958483666,0.225862751141638,1.7017752576538558,-1.482189736372692,65.99204529898685,3.2687489352079764,-0.6510900988300198,-7.610364840836898,-0.2918638267865256,0.5240800098616794,6.010707100786031,0.8249305987840787,74.54897835208303,47.06983400439172,422.3088804155083,1527.8672455201872,26.641452370836493,-0.0569268065353925,0.9638585485211224,-0.2602614784028495,36.215274258972215,82.11891052631782,19.32208817632505,0.8522033244620342,2.8110541350802185,3.513036573199652,74.82103606096976,143.1384334596195,-2.070260524399206,-31.56106129677401,-0.332056045827966,-0.5727166808660472,0.1560381594227762,-0.8047656157302762,,,0.995186539625294,0.0,0.9953458371145386,54.7134890529624,medium,high,47.63714939604745,-20.957795310669788,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,-1,0.891,105.78721618652344,0.9166666666666666,0.9477
149,06/21/2025,7:39:10 PM,5,1,Jack Bussard,,Left,Danville dans 2025,Nolan Mccrossin,,Right,Normal cornbelters,,4,Bottom,1,0,0,Slider,,StrikeCalled,,,,,,,73.45335025213848,0.1375602114008404,-1.4245924166396196,1510.115883817813,265.8859011818182,2:45,5.71471317477443,0.4254557427643066,6.000000192000004,-49.792881344141314,3.028204282368648,6.432304279463716,1.6931935497704915,0.3627989586712008,66.25116727368415,-9.25932653435716,-0.2004483720162802,0.5230885140569996,,,,,,,,,,,,-3.9812378809188,1.5914547788518054,-0.3131047701263142,50.00000000000002,5.697183056699099,2.483361292876096,-106.71627773802962,-1.0640297134665837,-4.478829410985068,22.551187513433767,-30.383688225294463,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,5d4fa8e0-5294-4297-bb2b-636257de7df2,73.64656576358578,5.705641915809919,0.4231733676132476,0.2445460135829159,-1.3969156831071652,66.38669683523986,1.7011397715078007,-0.361345140337241,-9.136987467174878,-0.1780177065424272,0.5228805336383281,6.1682804261775415,0.0246033148053588,75.53001702390351,51.31261945159339,377.33680826808177,1462.213019940977,24.98727497085285,-0.0179265915009298,0.968278683516837,-0.2492288674372608,,,,,,,,,,,,,,,,,0.990067805166264,0.0,,,medium,high,43.81864249356594,-15.720637877838984,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-2,0.0,106.97523498535156,0.0,
150,06/21/2025,7:39:24 PM,5,2,Jack Bussard,,Left,Danville dans 2025,Nolan Mccrossin,,Right,Normal cornbelters,,4,Bottom,1,0,1,Fastball,,BallCalled,,,,,,,81.57082197683178,-1.2877856341512277,-1.7493296469072093,1755.2321994859103,164.9004720026538,11:30,6.658867911704562,0.0147385265031695,6.000000192000004,-25.09861734803068,17.66435442145906,-3.450734275765018,3.3696968034051094,1.899143955630997,73.23947629709069,-6.032139490003472,-2.4044469562997275,0.4706580180525607,,,,,,,,,,,,1.2687792880252624,9.99859536961001,0.1297926918357899,50.00000000000004,6.539387068246099,3.720402166766473,-118.48298648667948,-3.4052106107521167,1.7642356746905048,27.24304938152488,-18.27101789692182,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,cb3db72e-1c20-4796-aa52-c9d12cc346ec,81.8182548382332,6.65910682998915,0.0114547734136681,-1.2922550333218126,-1.7102144514917963,73.44101013911833,3.3704594777237094,-1.8966410263280007,-6.019541606362088,-2.366686384636571,0.4704363194169261,-3.8179329206310735,16.15734422072935,36.586558458303806,64.68784535654343,1409.3765490968096,1046.1824969708268,80.29573235436324,-0.7752350427946243,0.5960365228470872,0.2091676166512648,,,,,,,,,,,,,,,,,0.991697133753179,0.0,,,medium,high,31.78093917911089,45.0271144334954,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,97.04882049560547,0.0,
151,06/21/2025,7:39:40 PM,5,3,Jack Bussard,,Left,Danville dans 2025,Nolan Mccrossin,,Right,Normal cornbelters,,4,Bottom,1,1,1,Slider,,StrikeSwinging,,,,,,,73.41004430365776,1.2857572797306132,-1.826648908010545,1542.9504926576385,261.4254055016712,2:45,5.88651106531669,-0.239903298406232,6.000000192000004,-49.83070023407486,3.088376505747945,5.119880433414248,2.92973545984977,1.511497920040062,66.00764429483871,-8.14167984122374,-0.8527194065650044,0.5235734934399612,,,,,,,,,,,,-3.4099126145675114,1.222870671330756,0.3857869845698118,49.99999999999996,5.962546431370791,3.2642569092467184,-106.60736245834472,1.0737249362918246,-3.8292256780638025,22.4637640821478,-30.800803903513568,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,4ea1d0ef-2d97-4840-816b-f214a4b8e3a0,73.61008538008252,5.87757209165212,-0.242890656959653,1.3910854537790125,-1.7905232912863611,66.14885890728686,2.9378765444904413,-1.5094490393009532,-8.019627107238637,-0.82205268668833,0.5233571779609336,4.777014558368655,0.1031147521701017,78.38391328250506,51.01117185219726,310.6776068984589,1511.348949569323,20.135293282374576,-0.0300210990231458,0.9795187575760232,-0.1991023283896156,,,,,,,,,,,,,,,,,0.9975146546378912,0.0,,,medium,high,44.08994533302245,-7.751072242728576,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0.0,105.98123168945312,0.0,
152,06/21/2025,7:39:56 PM,5,4,Jack Bussard,,Left,Danville dans 2025,Nolan Mccrossin,,Right,Normal cornbelters,,4,Bottom,1,1,2,Slider,,BallCalled,,,,,,,72.7964636956409,-1.2260378973905566,0.1204667294960698,1654.5464974614822,259.399798788629,2:45,6.150719646744508,-0.8176644567625513,6.000000192000004,-49.86937774596209,3.922836076506094,5.665956231713107,0.8552896222098036,0.2335402321974979,65.91788978766621,-10.596597436970455,1.199099257793199,0.5278751665666155,,,,,,,,,,,,-3.0258213173450224,2.554910657123449,0.8045829620066467,50.00000000000001,6.022066174709724,-0.3712294638056133,-105.76718807951376,-3.5737080218615445,-3.3421712708547213,22.22770896665245,-29.352022736995256,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,44765288-172c-4afb-81c1-ddb6a1823856,72.98763714430571,6.141652925677819,-0.8207172659552596,-1.120819217847539,0.1568236719869872,66.05028414394094,0.8632836636888495,-0.2315264890327506,-10.477710546912208,1.2293518117817197,0.5276600067877915,5.321273541447625,0.8819228481454553,79.89069286841321,44.44506286028861,290.41697794312927,1628.8591379196785,17.55266342703011,-0.0322889673380229,0.9844746825905376,-0.1725312201501633,,,,,,,,,,,,,,,,,0.9972329245039624,0.0,,,medium,high,49.99944342574023,-4.120149663153032,54.667001749344,Asa Martinez,,Danville dans 2025,2022-11,Slider,Breaking,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,108.83014678955078,0.0,
