Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Luka Zachman,Normal cornbelters,Fastball,BallCalled,Walk,81.6039702574062,2180.339319907596,5.901845094702874,2.559722666047036,6.000000192000004,18.515812669411662,3.242607208337037,1.0206578055480022,0.3736026373987144,3.242607208337037,2.559722666047036,15.273205461074625,0.03480415,0.11,0.989005,0.37793639322121936,163.3000378473599
Luka Zachman,Normal cornbelters,Fastball,InPlay,Out,81.4889678209941,2205.029814567231,5.850979575208035,2.220962343419,6.000000192000004,19.760309869454368,4.051591350714465,2.79453919521819,0.1540062945694344,4.051591350714465,2.220962343419,15.708718518739904,0.055275757,0.13,0.9929211,0.3927322902778784,169.69309920020982
Ab Trier,Danville dans 2025,Sinker,StrikeCalled,StrikeoutLooking,87.29873833666444,1908.76895796981,5.101675417769693,4.569556759549405,6.000000192000004,8.342946116366452,16.43886524597407,1.917292864375851,0.0798361467970918,16.43886524597407,4.569556759549405,8.09591912960762,0.009264144,0.01,0.1329215,0.050728548703094324,21.91896327461654
Ab Trier,Danville dans 2025,Sinker,InPlay,Out,88.03717810886883,1893.7620724705896,5.094905170867676,4.687214965629559,6.000000192000004,6.234689544287779,16.16977509628123,1.6359220599771502,-0.4623299906727357,16.16977509628123,4.687214965629559,9.935085551993453,0.027317353,0.01,0.10641997,0.04791244188944499,20.702170297016295
Ab Trier,Danville dans 2025,Sinker,InPlay,Out,86.97825696773805,1852.4812368891423,5.122253856978605,3.776052174440404,6.000000192000004,8.042663762250395,16.03621213055124,1.381351400061982,0.0861842840262401,16.03621213055124,3.776052174440404,7.993548368300846,0.008624419,0.0,0.0778497,0.028824706561863422,12.454676916324711
Eli Tritinger,Normal cornbelters,Fastball,InPlay,Out,91.83066426140776,2132.719267571375,5.209934257851609,2.8458369159625088,6.000000192000004,16.566139870935313,13.678190730257928,2.271358139104235,0.5750416913310616,13.678190730257928,2.8458369159625088,2.887949140677385,0.002780445,0.03,0.3234459,0.11874211043119431,51.306493566867026
Eli Tritinger,Normal cornbelters,Fastball,InPlay,Out,92.84471267158897,2169.886823852806,5.18855233818547,0.9545525966936366,6.000000192000004,13.763709126997725,15.604231010762131,2.1558381430376907,-0.169642038148428,15.604231010762131,0.9545525966936366,1.8405218837644064,0.023059973,0.08,0.37376046,0.15894014510015647,68.67539664307506
Eli Tritinger,Normal cornbelters,Fastball,BallCalled,Walk,90.97358790826613,2140.070656744541,5.193498752210734,3.101934128665917,6.000000192000004,16.67877598969487,15.1430183180762,1.5311447077687117,0.6041141345201112,15.1430183180762,3.101934128665917,1.5357576716186703,0.002780445,0.06,0.37068695,0.144489131073157,62.431353518706146
Eli Tritinger,Normal cornbelters,Fastball,InPlay,Out,91.46516463318468,2201.3005725599514,5.068019480053943,2.7697103071017217,6.000000192000004,16.785454123778,14.748689041894242,2.502340821315133,-0.1173476714391758,14.748689041894242,2.7697103071017217,2.0367650818837575,0.010636717,0.09,0.5545146,0.21838376800219217,94.35999871844251
Ab Trier,Danville dans 2025,Sinker,InPlay,Out,86.85169763775212,1730.0993082678588,5.2145441939411805,3.005437654123416,6.000000192000004,5.929557516758049,14.489974991039311,2.196141101058817,-0.5170611482107484,14.489974991039311,3.005437654123416,8.560417474281262,0.00021589342,0.0,0.018896874,0.006370922487500745,2.7527697834659226
Ab Trier,Danville dans 2025,Sinker,InPlay,Out,86.97414267071038,1993.6755028545736,5.102404863561273,3.1443122300795605,6.000000192000004,8.493758786377331,16.606562586029032,1.877604316599298,0.332302018461134,16.606562586029032,3.1443122300795605,8.1128037996517,0.0005620246,0.01,0.37487546,0.12847916022952025,55.513711048718626
Logan Barnett,Normal cornbelters,Sinker,HitByPitch,Walk,86.50565992483229,1931.3453027738,6.278713487426165,4.6717949416152535,6.000000192000004,15.036456500818892,10.753084017326476,3.140038078141055,-2.764584684789372,10.753084017326476,4.6717949416152535,4.283372483492416,0.11196201,0.29,0.14592308,0.18262836366891863,78.91068241654952
