PlayResult,TaggedHitType,ExitSpeed,Angle,xSLG
4,FlyBall,102.86455,36.520113,1.4551447629928589
0,GroundBall,88.36306,-16.081653,0.08486130833625793
0,Popup,75.34725,62.810035,2.7817410227726214e-05
2,LineDrive,92.74948,15.333202,1.8978255987167358
0,FlyBall,100.52092,21.906229,-0.010642002336680889
0,GroundBall,80.91357,7.074366,0.011287549510598183
2,LineDrive,106.86295,14.763866,1.3594005107879639
0,LineDrive,103.15777,10.662389,0.02601618319749832
1,LineDrive,95.6034,8.910746,0.15236391127109528
0,FlyBall,81.71943,52.783604,-0.00281787128187716
0,GroundBall,69.77504,-8.417956,-0.029937684535980225
1,LineDrive,56.02329,23.519348,0.9872633218765259
1,Popup,76.48788,29.430522,0.09973693639039993
0,GroundBall,79.30494,-29.348422,0.029040886089205742
2,GroundBall,89.85355,5.80509,1.9063694477081299
0,FlyBall,89.6248,53.944899,-0.00225880928337574
1,GroundBall,98.8226,-2.259192,1.0452826023101807
0,FlyBall,78.73462,32.180303,0.007005278952419758
1,Bunt,,,
0,FlyBall,84.34027,44.472666,0.002479490591213107
1,LineDrive,103.1249,10.200098,0.9706844687461853
0,FlyBall,87.78616,44.419652,0.012952727265655994
1,LineDrive,65.91116,23.088027,0.9437054395675659
1,LineDrive,75.49868,28.361675,1.0013153553009033
0,GroundBall,76.9777,-12.641133,0.243833988904953
0,GroundBall,45.328,-61.982656,0.005540004000067711
0,GroundBall,99.46304,-6.208153,-0.005291448440402746
0,LineDrive,93.77821,21.381465,9.457959095016122e-05
0,Popup,74.93544,73.262601,-1.7681881217868067e-05
0,LineDrive,83.51333,21.585246,0.003969024866819382
1,GroundBall,100.5428,-4.178937,0.994594156742096
0,Popup,90.8198,66.149765,0.00017920511891134083
4,FlyBall,112.29819,22.573936,3.9997823238372803
0,GroundBall,79.83905,-7.374513,0.0021034227684140205
1,GroundBall,95.75625,2.599644,1.1849859952926636
0,Popup,,,0.00017920511891134083
0,GroundBall,83.05684,-12.521037,0.1682259738445282
1,GroundBall,102.66854,6.503586,0.4293052554130554
4,FlyBall,107.3968,20.141901,3.9882142543792725
0,FlyBall,90.81721,30.581279,1.9128289222717285
0,GroundBall,96.68772,-8.308355,0.0002665570646058768
0,Popup,74.54994,47.884485,-0.00032488550641573966
1,GroundBall,,,1.5019162893295288
1,LineDrive,92.88528,17.023844,1.004367470741272
0,FlyBall,83.52632,43.213259,0.0010182594414800406
0,LineDrive,102.42507,7.063673,0.060498807579278946
1,Popup,88.77128,47.38455,0.9944548606872559
0,LineDrive,83.78726,9.384375,0.03591150417923927
3,FlyBall,94.6244,21.594355,-0.01879904977977276
0,FlyBall,96.43251,21.477102,0.0062052044086158276
0,GroundBall,55.65284,-35.216371,0.010317577049136162
1,LineDrive,91.49599,12.839138,1.0175654888153076
